INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Óleo - SP,3533809,SP,2522,,n.d.,,n.d.,0,n.d.,n.d.,2019
Prefeitura Municipal de Olho d'Água - PB,2510402,PB,6592,"0,075285451",A,"0,988948765",C,"2,195856591",C,C,2019
Prefeitura Municipal de Olho d'Água das Cunhãs - MA,2107407,MA,19448,"0,377077692",A,"1,502713436",C,"0,598817754",A,C,2019
Prefeitura Municipal de Olho d'Água das Flores - AL,2705705,AL,21437,"0,078697188",A,"0,861022944",A,,n.d.,n.d.,2019
Prefeitura Municipal de Olho d'Água do Casado - AL,2705804,AL,9303,"0,217519161",A,"1,079180266",C,"1,528001288",C,C,2019
Prefeitura Municipal de Olho D'Água do Piauí - PI,2207108,PI,2449,,n.d.,"1,026648458",C,"0,021716099",A,n.d.,2019
Prefeitura Municipal de Olho d'Água Grande - AL,2705903,AL,5117,"0,066440864",A,"0,952381772",C,,n.d.,n.d.,2019
Prefeitura Municipal de Olho-d'Água do Borges - RN,2408409,RN,4272,"0,046671585",A,"0,988163158",C,"2,943246012",C,C,2019
Prefeitura Municipal de Olhos-d'Água - MG,3145455,MG,6018,"0,010513312",A,"0,975822943",C,,n.d.,n.d.,2019
Prefeitura Municipal de Olímpia - SP,3533908,SP,54406,"0,139242321",A,"0,88843923",A,"0,104810679",A,A,2019
Prefeitura Municipal de Olímpio Noronha - MG,3145505,MG,2765,"0,017924392",A,"0,880039379",A,"3,389841532",C,C,2019
Prefeitura Municipal de Olinda - PE,2609600,PE,391835,"0,088393869",A,"0,994850546",C,"4,656387637",C,C,2019
Prefeitura Municipal de Olinda Nova do Maranhão - MA,2107456,MA,14563,"0,012531341",A,"1,262917694",C,"1,224576123",C,C,2019
Prefeitura Municipal de Olindina - BA,2923100,BA,28152,"0,130342145",A,"0,977906183",C,"0,269052151",A,C,2019
Prefeitura Municipal de Olivedos - PB,2510501,PB,3912,"0,100155554",A,"0,942305034",B,"0,162873654",A,B,2019
Prefeitura Municipal de Oliveira - MG,3145604,MG,41529,"0,019791431",A,"0,844806805",A,"-0,006866056",C,C,2019
Prefeitura Municipal de Oliveira de Fátima - TO,1715507,TO,1106,"0,007860676",A,"0,86705175",A,,n.d.,n.d.,2019
Prefeitura Municipal de Oliveira dos Brejinhos - BA,2923209,BA,21838,"0,967692239",B,"0,7644167",A,"1021958,07",C,C,2019
Prefeitura Municipal de Oliveira Fortes - MG,3145703,MG,2136,"0,018912797",A,"0,950565465",C,"0,101402173",A,C,2019
Prefeitura Municipal de Olivença - AL,2706000,AL,11591,"0,221199685",A,"0,88787765",A,,n.d.,n.d.,2019
Prefeitura Municipal de Onça de Pitangui - MG,3145802,MG,3144,"0,021076103",A,"0,906501531",B,"1,617191486",C,C,2019
Prefeitura Municipal de Onda Verde - SP,3534005,SP,4339,"0,218388974",A,"0,869598903",A,,n.d.,n.d.,2019
Prefeitura Municipal de Oratórios - MG,3145851,MG,4647,"0,003529099",A,"0,874420326",A,"0,496987191",A,A,2019
Prefeitura Municipal de Oriente - SP,3534104,SP,6487,"0,066148715",A,"0,952110184",C,"0,256497057",A,C,2019
Prefeitura Municipal de Orindiúva - SP,3534203,SP,6935,"0,053608605",A,"0,872540659",A,"0,003866957",A,A,2019
Prefeitura Municipal de Oriximiná - PA,1505304,PA,72160,"0,087624816",A,"0,976873141",C,"0,808020476",A,C,2019
Prefeitura Municipal de Orizânia - MG,3145877,MG,7954,"0,053914847",A,"0,943813064",B,"2,063483509",C,C,2019
Prefeitura Municipal de Orizona - GO,5215306,GO,15502,"0,075451979",A,"0,943741688",B,"0,225239484",A,B,2019
Prefeitura Municipal de Orlândia - SP,3534302,SP,43687,"0,047087331",A,"0,886306286",A,"1,09658105",C,C,2019
Prefeitura Municipal de Orleans - SC,4211702,SC,22785,"0,102423296",A,"0,946638746",B,"0,036748496",A,B,2019
Prefeitura Municipal de Orobó - PE,2609709,PE,23833,"0,352401807",A,"0,912915695",B,"0,935844031",A,B,2019
Prefeitura Municipal de Orocó - PE,2609808,PE,14827,"0,202760284",A,"0,970670409",C,"2,376462793",C,C,2019
Prefeitura Municipal de Orós - CE,2309508,CE,21471,"0,665242049",B,"0,946848178",B,,n.d.,n.d.,2019
Prefeitura Municipal de Ortigueira - PR,4117305,PR,22327,"0,024351387",A,"0,802726503",A,"0,018625458",A,A,2019
Prefeitura Municipal de Osasco - SP,3534401,SP,696850,"0,443092851",A,"0,915211379",B,"0,315908452",A,B,2019
Prefeitura Municipal de Oscar Bressane - SP,3534500,SP,2602,"0,039771622",A,,n.d.,"0,203000214",A,n.d.,2019
Prefeitura Municipal de Osório - RS,4313508,RS,45557,"0,156829952",A,"0,878818365",A,"0,313335159",A,A,2019
Prefeitura Municipal de Osvaldo Cruz - SP,3534609,SP,32754,,n.d.,"0,946935114",B,"1,579239397",C,n.d.,2019
Prefeitura Municipal de Otacílio Costa - SC,4211751,SC,18510,"0,164892354",A,"0,930557466",B,"-6,652194796",C,C,2019
Prefeitura Municipal de Ourém - PA,1505403,PA,17721,"0,651721328",B,"0,914905984",B,"2,014087765",C,C,2019
Prefeitura Municipal de Ouriçangas - BA,2923308,BA,8557,"0,304138606",A,"0,910040654",B,"0,753169144",A,B,2019
Prefeitura Municipal de Ouricuri - PE,2609907,PE,68939,"0,909878274",B,"1,93399511",C,"14,45335099",C,C,2019
Prefeitura Municipal de Ourilândia do Norte - PA,1505437,PA,32319,,n.d.,"0,921777568",B,"0,049717034",A,n.d.,2019
Prefeitura Municipal de Ourinhos - SP,3534708,SP,112711,"0,221862582",A,"0,943948764",B,,n.d.,n.d.,2019
Prefeitura Municipal de Ourizona - PR,4117404,PR,3430,"0,015886869",A,"0,954124154",C,"-0,000244243",C,C,2019
Prefeitura Municipal de Ouro - SC,4211801,SC,7317,"0,035868986",A,"0,944676604",B,"0,000287317",A,B,2019
